Node,Code,HasEye
6ea38,lukavsky_29_170529,TRUE
6ea38,lukavsky_30_170529,TRUE
6ea38,lukavsky_31_170529,TRUE
6ea38,lukavsky_57_170619,TRUE
6ea38,lukavsky_65_170630,TRUE
6ea38,lukavsky_32_170530,TRUE
6ea38,lukavsky_68_170710,TRUE
6ea38,lukavsky_79_170801,TRUE
6ea38,lukavsky_36_170531,TRUE
6ea38,lukavsky_83_170802,TRUE
6ea38,lukavsky_82_170802,TRUE
6ea38,lukavsky_10_170522,TRUE
6ea38,lukavsky_11_170522,TRUE
6ea38,lukavsky_13_170523,TRUE
6ea38,lukavsky_62_170623,TRUE
6ea38,lukavsky_14_170523,TRUE
6ea38,lukavsky_71_170713,TRUE
6ea38,lukavsky_26_170525,TRUE
6ea38,lukavsky_72_170726,TRUE
6ea38,lukavsky_54_170616,TRUE
6ea38,lukavsky_76_170727,TRUE
6ea38,lukavsky_47_170608,TRUE
6ea38,lukavsky_46_170608,TRUE
6ea38,lukavsky_81_170802,TRUE
6ea38,lukavsky_39_170602,TRUE
6ea38,lukavsky_84_170803,TRUE
6ea38,lukavsky_15_170523,TRUE
6ea38,lukavsky_61_170623,TRUE
6ea38,lukavsky_63_170623,TRUE
6ea38,lukavsky_19_170524,TRUE
6ea38,lukavsky_20_170524,TRUE
6ea38,lukavsky_17_170524,TRUE
6ea38,lukavsky_48_170614,TRUE
6ea38,lukavsky_18_170524,TRUE
6ea38,lukavsky_51_170615,TRUE
6ea38,lukavsky_23_170525,TRUE
6ea38,lukavsky_74_170726,TRUE
6ea38,lukavsky_73_170726,TRUE
6ea38,lukavsky_42_170606,TRUE
6ea38,lukavsky_43_170606,TRUE
6ea38,lukavsky_53_170616,TRUE
6ea38,lukavsky_45_170607,TRUE
6ea38,lukavsky_86_170818,TRUE
6ea38,lukavsky_85_170818,TRUE
6ea38,lukavsky_58_170619,TRUE
xb6t2,Lindemann_Participant_50,FALSE
xb6t2,Lindemann_Participant_10,FALSE
xb6t2,Lindemann_Participant_11,FALSE
xb6t2,Lindemann_Participant_12,FALSE
xb6t2,Lindemann_Participant_13,FALSE
xb6t2,Lindemann_Participant_14,FALSE
xb6t2,Lindemann_Participant_15,FALSE
xb6t2,Lindemann_Participant_16,FALSE
xb6t2,Lindemann_Participant_17,FALSE
xb6t2,Lindemann_Participant_18,FALSE
xb6t2,Lindemann_Participant_19,FALSE
xb6t2,Lindemann_Participant_30,FALSE
xb6t2,Lindemann_Participant_20,FALSE
xb6t2,Lindemann_Participant_31,FALSE
xb6t2,Lindemann_Participant_21,FALSE
xb6t2,Lindemann_Participant_32,FALSE
xb6t2,Lindemann_Participant_22,FALSE
xb6t2,Lindemann_Participant_33,FALSE
xb6t2,Lindemann_Participant_23,FALSE
xb6t2,Lindemann_Participant_34,FALSE
xb6t2,Lindemann_Participant_24,FALSE
xb6t2,Lindemann_Participant_35,FALSE
xb6t2,Lindemann_Participant_25,FALSE
xb6t2,Lindemann_Participant_36,FALSE
xb6t2,Lindemann_Participant_26,FALSE
xb6t2,Lindemann_Participant_37,FALSE
xb6t2,Lindemann_Participant_27,FALSE
xb6t2,Lindemann_Participant_28,FALSE
xb6t2,Lindemann_Participant_38,FALSE
xb6t2,Lindemann_Participant_29,FALSE
xb6t2,Lindemann_Participant_39,FALSE
xb6t2,Lindemann_Participant_40,FALSE
xb6t2,Lindemann_Participant_41,FALSE
xb6t2,Lindemann_Participant_1,FALSE
xb6t2,Lindemann_Participant_42,FALSE
xb6t2,Lindemann_Participant_2,FALSE
xb6t2,Lindemann_Participant_43,FALSE
xb6t2,Lindemann_Participant_3,FALSE
xb6t2,Lindemann_Participant_44,FALSE
xb6t2,Lindemann_Participant_4,FALSE
xb6t2,Lindemann_Participant_45,FALSE
xb6t2,Lindemann_Participant_5,FALSE
xb6t2,Lindemann_Participant_46,FALSE
xb6t2,Lindemann_Participant_6,FALSE
xb6t2,Lindemann_Participant_47,FALSE
xb6t2,Lindemann_Participant_7,FALSE
xb6t2,Lindemann_Participant_48,FALSE
xb6t2,Lindemann_Participant_8,FALSE
xb6t2,Lindemann_Participant_49,FALSE
xb6t2,Lindemann_Participant_9,FALSE
fkjbz,cipora_94_020817,FALSE
fkjbz,cipora_92_020817,FALSE
fkjbz,cipora_88_020817,FALSE
fkjbz,cipora_84_270717,FALSE
fkjbz,cipora_82_260717,FALSE
fkjbz,cipora_80_240717,FALSE
fkjbz,cipora_77_190717,FALSE
fkjbz,cipora_09_210617,FALSE
fkjbz,cipora_39_010717,FALSE
fkjbz,cipora_46_050717,FALSE
fkjbz,cipora_71_150717,FALSE
fkjbz,cipora_34_010717,FALSE
fkjbz,cipora_57_100717,FALSE
fkjbz,cipora_62_120717,FALSE
fkjbz,cipora_07_210617,FALSE
fkjbz,cipora_37_010717,FALSE
fkjbz,cipora_12_210617,FALSE
fkjbz,cipora_69_130717,FALSE
fkjbz,cipora_74_190717,FALSE
fkjbz,cipora_03_010617,FALSE
fkjbz,cipora_30_290617,FALSE
fkjbz,cipora_13_220617,FALSE
fkjbz,cipora_55_080717,FALSE
fkjbz,cipora_25_280617,FALSE
fkjbz,cipora_64_120717,FALSE
fkjbz,cipora_67_130717,FALSE
fkjbz,cipora_96_030817,FALSE
fkjbz,cipora_93_020817,FALSE
fkjbz,cipora_91_020817,FALSE
fkjbz,cipora_87_310717,FALSE
fkjbz,cipora_83_260717,FALSE
fkjbz,cipora_81_260717,FALSE
fkjbz,cipora_79_220717,FALSE
fkjbz,cipora_78_190717,FALSE
fkjbz,cipora_76_190717,FALSE
fkjbz,cipora_41_030717,FALSE
fkjbz,cipora_06_210617,FALSE
fkjbz,cipora_04_010617,FALSE
fkjbz,cipora_36_010717,FALSE
fkjbz,cipora_11_210617,FALSE
fkjbz,cipora_68_130717,FALSE
fkjbz,cipora_29_280617,FALSE
fkjbz,cipora_54_080717,FALSE
